algo,K,frac,alpha,dp_sigma,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
fedavg,20,0.5,0.3,0.1,0.7467447916666667,,1,,
fedavg,50,0.5,iid,0.1,0.74609375,,1,,
fedprox,50,0.5,iid,0.1,0.74609375,,1,,
fedprox,20,0.5,0.3,0.1,0.74609375,,1,,
fedavgm,20,1.0,0.3,0.1,0.7454427083333333,,1,,
fedadam,50,0.5,0.3,0.01,0.7454427083333333,,1,,
fedadam,10,1.0,0.3,0.05,0.7415364583333334,,1,,
fedadam,10,0.5,0.3,0.01,0.740234375,,1,,
fedadam,10,0.5,0.3,0.0,0.7389322916666667,,1,,
fedavgm,50,0.5,iid,0.1,0.7389322916666667,,1,,
fedadam,20,0.5,0.3,0.05,0.734375,,1,,
fedadam,20,1.0,0.3,0.05,0.7311197916666667,,1,,
fedadam,50,0.5,iid,0.05,0.7291666666666666,,1,,
fedadam,50,1.0,iid,0.1,0.7265625,,1,,
fedadam,20,0.5,iid,0.1,0.7252604166666667,,1,,
fedadam,50,1.0,iid,0.05,0.724609375,,1,,
fedadam,10,0.5,iid,0.1,0.724609375,,1,,
fedadam,50,1.0,0.3,0.05,0.724609375,,1,,
fedadam,20,1.0,iid,0.1,0.7200520833333333,,1,,
fedadam,20,0.5,iid,0.05,0.7194010416666667,,1,,
fedadam,50,1.0,0.3,0.1,0.7161458333333333,,1,,
fedadam,10,0.5,0.3,0.05,0.7135416666666667,,1,,
fedadam,50,0.5,0.3,0.05,0.7109375,,1,,
fedadam,10,1.0,0.3,0.1,0.7083333333333334,,1,,
fedadam,20,0.5,0.3,0.1,0.69921875,,1,,
fedadam,10,1.0,iid,0.1,0.6979166666666667,,1,,
fedadam,20,1.0,0.3,0.1,0.69140625,,1,,
fedadam,10,0.5,0.3,0.1,0.6764322916666667,,1,,
fedadam,50,0.5,iid,0.1,0.6692708333333333,,1,,
fedadam,50,0.5,0.3,0.1,0.6640625,,1,,
