K,frac,alpha,algo,dp_sigma,rounds,local_epochs,seeds,acc_mean,acc_std
20,0.5,0.3,fedadam,0.1,50,1,2,0.69921875,0.00390625
50,1.0,iid,fedavg,0.0,50,1,2,0.767578125,0.0006510416666666297
50,1.0,iid,fedavg,0.01,50,1,2,0.763671875,0.001953125
50,1.0,iid,fedavg,0.05,50,1,2,0.759765625,0.001953125
50,1.0,iid,fedavg,0.1,50,1,2,0.76171875,0.00520833333333337
50,1.0,iid,fedprox,0.0,50,1,2,0.767578125,0.0006510416666666297
50,1.0,iid,fedprox,0.01,50,1,2,0.763671875,0.001953125
50,1.0,iid,fedprox,0.05,50,1,2,0.759765625,0.001953125
50,1.0,iid,fedprox,0.1,50,1,2,0.76171875,0.00520833333333337
50,1.0,iid,fedavgm,0.0,50,1,2,0.7571614583333333,0.0006510416666666852
50,1.0,iid,fedavgm,0.01,50,1,2,0.7565104166666667,0.002604166666666685
50,1.0,iid,fedavgm,0.05,50,1,2,0.7591145833333333,0.0013020833333333148
50,1.0,iid,fedavgm,0.1,50,1,2,0.7571614583333334,0.005859375
50,1.0,iid,fedadam,0.0,50,1,2,0.7766927083333333,0.0006510416666666852
50,1.0,iid,fedadam,0.01,50,1,2,0.7747395833333333,0.002604166666666685
50,1.0,iid,fedadam,0.05,50,1,2,0.724609375,0.00716145833333337
50,1.0,iid,fedadam,0.1,50,1,2,0.7265625,0.0390625
50,1.0,0.3,fedavg,0.0,50,1,2,0.7591145833333334,0.0
50,1.0,0.3,fedavg,0.01,50,1,2,0.7591145833333334,0.0
50,1.0,0.3,fedavg,0.05,50,1,2,0.7591145833333333,0.0013020833333333148
50,1.0,0.3,fedavg,0.1,50,1,2,0.7591145833333334,0.00390625
50,1.0,0.3,fedprox,0.0,50,1,2,0.7591145833333334,0.0
50,1.0,0.3,fedprox,0.01,50,1,2,0.7591145833333334,0.0
50,1.0,0.3,fedprox,0.05,50,1,2,0.7591145833333333,0.0013020833333333148
50,1.0,0.3,fedprox,0.1,50,1,2,0.7591145833333334,0.00390625
50,1.0,0.3,fedavgm,0.0,50,1,2,0.7565104166666666,0.0
50,1.0,0.3,fedavgm,0.01,50,1,2,0.7565104166666667,0.002604166666666685
50,1.0,0.3,fedavgm,0.05,50,1,2,0.755859375,0.001953125
50,1.0,0.3,fedavgm,0.1,50,1,2,0.7552083333333333,0.002604166666666685
50,1.0,0.3,fedadam,0.0,50,1,2,0.7701822916666667,0.003255208333333315
50,1.0,0.3,fedadam,0.01,50,1,2,0.7610677083333333,0.011067708333333315
50,1.0,0.3,fedadam,0.05,50,1,2,0.724609375,0.01236979166666663
50,1.0,0.3,fedadam,0.1,50,1,2,0.7161458333333333,0.036458333333333315
50,0.5,iid,fedavg,0.0,50,1,2,0.7623697916666667,0.0006510416666666852
50,0.5,iid,fedavg,0.01,50,1,2,0.7623697916666666,0.001953125
50,0.5,iid,fedavg,0.05,50,1,2,0.7532552083333334,0.001953125
50,0.5,iid,fedavg,0.1,50,1,2,0.74609375,0.00911458333333337
50,0.5,iid,fedprox,0.0,50,1,2,0.7623697916666667,0.0006510416666666852
50,0.5,iid,fedprox,0.01,50,1,2,0.7623697916666666,0.001953125
50,0.5,iid,fedprox,0.05,50,1,2,0.7532552083333334,0.001953125
50,0.5,iid,fedprox,0.1,50,1,2,0.74609375,0.00911458333333337
50,0.5,iid,fedavgm,0.0,50,1,2,0.7552083333333334,0.0
50,0.5,iid,fedavgm,0.01,50,1,2,0.7565104166666667,0.005208333333333315
50,0.5,iid,fedavgm,0.05,50,1,2,0.75390625,0.00520833333333337
50,0.5,iid,fedavgm,0.1,50,1,2,0.7389322916666667,0.008463541666666685
50,0.5,iid,fedadam,0.0,50,1,2,0.7721354166666667,0.005208333333333315
50,0.5,iid,fedadam,0.01,50,1,2,0.7610677083333334,0.005859375
50,0.5,iid,fedadam,0.05,50,1,2,0.7291666666666666,0.0234375
50,0.5,iid,fedadam,0.1,50,1,2,0.6692708333333333,0.002604166666666685
50,0.5,0.3,fedavg,0.0,50,1,2,0.7584635416666667,0.003255208333333315
50,0.5,0.3,fedavg,0.01,50,1,2,0.7571614583333333,0.003255208333333315
50,0.5,0.3,fedavg,0.05,50,1,2,0.7584635416666667,0.003255208333333315
50,0.5,0.3,fedavg,0.1,50,1,2,0.7578125,0.00651041666666663
50,0.5,0.3,fedprox,0.0,50,1,2,0.7584635416666667,0.003255208333333315
50,0.5,0.3,fedprox,0.01,50,1,2,0.7571614583333333,0.003255208333333315
50,0.5,0.3,fedprox,0.05,50,1,2,0.7584635416666667,0.003255208333333315
50,0.5,0.3,fedprox,0.1,50,1,2,0.7578125,0.00651041666666663
50,0.5,0.3,fedavgm,0.0,50,1,2,0.75390625,0.0026041666666666297
50,0.5,0.3,fedavgm,0.01,50,1,2,0.7552083333333334,0.0
50,0.5,0.3,fedavgm,0.05,50,1,2,0.751953125,0.00455729166666663
50,0.5,0.3,fedavgm,0.1,50,1,2,0.7545572916666666,0.001953125
50,0.5,0.3,fedadam,0.0,50,1,2,0.75,0.015625
50,0.5,0.3,fedadam,0.01,50,1,2,0.7454427083333333,0.008463541666666685
50,0.5,0.3,fedadam,0.05,50,1,2,0.7109375,0.01822916666666663
50,0.5,0.3,fedadam,0.1,50,1,2,0.6640625,0.02994791666666663
