algo,K,frac,alpha,dp_sigma,acc_mean,vs_baseline_algo,vs_baseline_K,vs_baseline_frac,vs_baseline_alpha,vs_baseline_sigma,baseline_mean,t_stat,p_value
fedadam,10,1.0,0.3,0.01,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.1,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.01,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,0.3,0.0,0.7688802083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,iid,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.05,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,iid,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,0.5,0.3,0.01,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.05,0.7682291666666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.05,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.1,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.0,0.767578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,iid,0.01,0.7669270833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.0,0.7669270833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.05,0.7669270833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.0,0.7662760416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,0.3,0.1,0.7662760416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,0.3,0.1,0.7662760416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,0.3,0.01,0.765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.05,0.765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,0.5,iid,0.0,0.7649739583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,20,1.0,0.3,0.0,0.763671875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.01,0.763671875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.01,0.763671875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,iid,0.0,0.7623697916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,iid,0.0,0.7623697916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,iid,0.01,0.7623697916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,iid,0.01,0.7623697916666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.1,0.76171875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.1,0.76171875,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,iid,0.01,0.7610677083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,0.3,0.01,0.7610677083333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,iid,0.05,0.759765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,iid,0.05,0.759765625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.0,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.0,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.1,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.01,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.1,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.01,0.7591145833333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,1.0,0.3,0.05,0.7591145833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,1.0,0.3,0.05,0.7591145833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.05,0.7591145833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.0,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.05,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.0,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.05,0.7584635416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.1,0.7578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.1,0.7578125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.1,0.7571614583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.1,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,1.0,iid,0.0,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,50,0.5,0.3,0.01,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,50,0.5,0.3,0.01,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.1,0.7571614583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,0.3,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,50,0.5,iid,0.01,0.7565104166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
